 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 04, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\25Mg_in_CD2.txt

 Ion = Magnesium [12] , Mass = 24.9858 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  35.00 MeV   1.609E+03  1.387E+00   23.34 um     6643 A      4801 A   
  37.50 MeV   1.564E+03  1.307E+00   24.92 um     7014 A      4859 A   
  40.00 MeV   1.522E+03  1.236E+00   26.54 um     7387 A      4919 A   
  45.00 MeV   1.442E+03  1.115E+00   29.91 um     8809 A      5042 A   
  50.00 MeV   1.370E+03  1.017E+00   33.47 um     1.02 um     5170 A   
  55.00 MeV   1.330E+03  9.362E-01   37.17 um     1.14 um     5305 A   
  60.00 MeV   1.283E+03  8.676E-01   40.99 um     1.27 um     5445 A   
  65.00 MeV   1.228E+03  8.088E-01   44.98 um     1.39 um     5591 A   
  70.00 MeV   1.178E+03  7.579E-01   49.13 um     1.51 um     5744 A   
  80.00 MeV   1.092E+03  6.740E-01   57.95 um     1.96 um     6075 A   
  90.00 MeV   1.020E+03  6.075E-01   67.42 um     2.38 um     6438 A   
 100.00 MeV   9.594E+02  5.536E-01   77.52 um     2.77 um     6833 A   
 110.00 MeV   9.067E+02  5.089E-01   88.24 um     3.16 um     7259 A   
 120.00 MeV   8.606E+02  4.712E-01   99.56 um     3.55 um     7717 A   
 130.00 MeV   8.197E+02  4.389E-01  111.46 um     3.93 um     8205 A   
 140.00 MeV   7.832E+02  4.110E-01  123.94 um     4.31 um     8723 A   
 150.00 MeV   7.502E+02  3.866E-01  136.98 um     4.69 um     9269 A   
 160.00 MeV   7.203E+02  3.650E-01  150.58 um     5.07 um     9843 A   
 170.00 MeV   6.930E+02  3.458E-01  164.73 um     5.45 um     1.04 um  
 180.00 MeV   6.678E+02  3.287E-01  179.42 um     5.84 um     1.11 um  
 200.00 MeV   6.231E+02  2.992E-01  210.42 um     7.31 um     1.24 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0953E-02                keV / (ug/cm2) 
  1.0953E-02                MeV / (mg/cm2) 
  1.0953E+01                keV / (mg/cm2) 
  9.7235E-02                 eV / (1E15 atoms/cm2)
  1.1669E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
