 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 15, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_in_CD2.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  80.00 MeV   7.379E-01  2.813E-04   60.22 mm     2.65 mm     1.30 mm  
  90.00 MeV   6.742E-01  2.524E-04   74.39 mm     3.34 mm     1.59 mm  
 100.00 MeV   6.227E-01  2.290E-04   89.81 mm     4.00 mm     1.91 mm  
 110.00 MeV   5.800E-01  2.098E-04  106.43 mm     4.66 mm     2.26 mm  
 120.00 MeV   5.441E-01  1.936E-04  124.22 mm     5.31 mm     2.62 mm  
 130.00 MeV   5.135E-01  1.798E-04  143.12 mm     5.97 mm     3.00 mm  
 140.00 MeV   4.870E-01  1.679E-04  163.10 mm     6.62 mm     3.41 mm  
 150.00 MeV   4.640E-01  1.576E-04  184.12 mm     7.28 mm     3.83 mm  
 160.00 MeV   4.437E-01  1.484E-04  206.14 mm     7.95 mm     4.27 mm  
 170.00 MeV   4.257E-01  1.403E-04  229.13 mm     8.61 mm     4.72 mm  
 180.00 MeV   4.096E-01  1.331E-04  253.06 mm     9.28 mm     5.19 mm  
 200.00 MeV   3.821E-01  1.208E-04  303.58 mm    11.76 mm     6.18 mm  
 225.00 MeV   3.544E-01  1.083E-04  371.47 mm    15.25 mm     7.49 mm  
 250.00 MeV   3.321E-01  9.821E-05  444.30 mm    18.46 mm     8.87 mm  
 275.00 MeV   3.138E-01  8.991E-05  521.69 mm    21.53 mm    10.32 mm  
 300.00 MeV   2.985E-01  8.294E-05  603.32 mm    24.50 mm    11.83 mm  
 325.00 MeV   2.856E-01  7.700E-05  688.89 mm    27.40 mm    13.40 mm  
 350.00 MeV   2.745E-01  7.188E-05  778.13 mm    30.24 mm    15.01 mm  
 375.00 MeV   2.648E-01  6.742E-05  870.79 mm    33.04 mm    16.66 mm  
 400.00 MeV   2.564E-01  6.350E-05  966.65 mm    35.79 mm    18.35 mm  
 450.00 MeV   2.425E-01  5.691E-05    1.17 m     45.80 mm    21.83 mm  
 500.00 MeV   2.315E-01  5.160E-05    1.38 m     54.80 mm    25.40 mm  
 550.00 MeV   2.225E-01  4.722E-05    1.60 m     63.18 mm    29.06 mm  
 600.00 MeV   2.151E-01  4.355E-05    1.83 m     71.11 mm    32.78 mm  
 650.00 MeV   2.090E-01  4.042E-05    2.06 m     78.68 mm    36.53 mm  
 700.00 MeV   2.038E-01  3.772E-05    2.30 m     85.96 mm    40.32 mm  
 800.00 MeV   1.956E-01  3.331E-05    2.81 m    111.63 mm    47.94 mm  
 900.00 MeV   1.894E-01  2.984E-05    3.32 m    133.87 mm    55.57 mm  
   1.00 GeV   1.848E-01  2.705E-05    3.86 m    153.97 mm    63.15 mm  
   1.10 GeV   1.811E-01  2.474E-05    4.41 m    172.52 mm    70.67 mm  
   1.20 GeV   1.782E-01  2.281E-05    4.96 m    189.86 mm    78.10 mm  
   1.30 GeV   1.759E-01  2.117E-05    5.53 m    206.20 mm    85.42 mm  
   1.40 GeV   1.741E-01  1.975E-05    6.10 m    221.69 mm    92.62 mm  
   1.50 GeV   1.726E-01  1.852E-05    6.67 m    236.44 mm    99.70 mm  
   1.60 GeV   1.714E-01  1.743E-05    7.25 m    250.55 mm   106.66 mm  
   1.70 GeV   1.705E-01  1.647E-05    7.84 m    264.07 mm   113.50 mm  
   1.80 GeV   1.697E-01  1.561E-05    8.43 m    277.07 mm   120.21 mm  
   2.00 GeV   1.686E-01  1.415E-05    9.61 m    323.99 mm   133.26 mm  
   2.25 GeV   1.678E-01  1.267E-05   11.09 m    386.61 mm   148.92 mm  
   2.50 GeV   1.674E-01  1.148E-05   12.59 m    440.80 mm   163.90 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0953E-02                keV / (ug/cm2) 
  1.0953E-02                MeV / (mg/cm2) 
  1.0953E+01                keV / (mg/cm2) 
  9.7235E-02                 eV / (1E15 atoms/cm2)
  4.6442E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
