            angle	  Ex=0.000(0d5/2)	  Ex=1.808(1s1/2)	  Ex=1.808(0d5/2)	  Ex=2.937(1s1/2)	  Ex=2.937(0d5/2)	  Ex=3.938(1s1/2)	  Ex=3.938(0d3/2)	  Ex=3.938(0d5/2)	  Ex=4.319(0d3/2)	  Ex=4.319(0d5/2)	  Ex=4.835(1s1/2)	  Ex=4.835(0d5/2)	  Ex=5.291(1s1/2)	  Ex=5.291(0d5/2)	
            32.10	         0.233310	         1.005800	         1.343900	         1.309500	         1.498100	         2.375500	         2.413600	         2.340900	         3.254000	         3.148300	         2.140000	         1.863300	         2.399400	         1.974300	
            32.20	         0.232510	         1.010000	         1.338000	         1.316600	         1.490600	         2.389600	         2.401300	         2.327700	         3.236600	         3.129900	         2.152800	         1.851700	         2.413500	         1.961400	
            32.30	         0.231700	         1.013900	         1.332100	         1.323400	         1.483000	         2.403200	         2.388900	         2.314500	         3.219100	         3.111200	         2.165100	         1.840100	         2.427100	         1.948500	
            32.40	         0.230870	         1.017600	         1.326100	         1.329800	         1.475400	         2.416100	         2.376400	         2.301000	         3.201400	         3.092400	         2.177000	         1.828300	         2.440200	         1.935500	
            32.50	         0.230020	         1.021000	         1.320000	         1.335900	         1.467600	         2.428500	         2.363700	         2.287500	         3.183500	         3.073500	         2.188300	         1.816500	         2.452700	         1.922400	
            32.60	         0.229160	         1.024200	         1.313800	         1.341700	         1.459800	         2.440300	         2.350900	         2.273900	         3.165600	         3.054400	         2.199100	         1.804600	         2.464600	         1.909300	
            32.70	         0.228280	         1.027000	         1.307500	         1.347100	         1.451800	         2.451400	         2.338000	         2.260100	         3.147400	         3.035200	         2.209400	         1.792700	         2.476000	         1.896100	
            32.80	         0.227390	         1.029700	         1.301200	         1.352100	         1.443800	         2.461900	         2.325000	         2.246200	         3.129100	         3.015900	         2.219200	         1.780700	         2.486900	         1.882800	
            32.90	         0.226480	         1.032000	         1.294700	         1.356800	         1.435700	         2.471900	         2.311900	         2.232300	         3.110700	         2.996400	         2.228400	         1.768600	         2.497100	         1.869500	
            33.00	         0.225560	         1.034100	         1.288200	         1.361100	         1.427500	         2.481200	         2.298700	         2.218200	         3.092200	         2.976700	         2.237200	         1.756400	         2.506900	         1.856100	
            33.10	         0.224630	         1.035900	         1.281600	         1.365100	         1.419300	         2.489800	         2.285400	         2.204000	         3.073500	         2.957000	         2.245400	         1.744200	         2.516100	         1.842600	
            33.20	         0.223680	         1.037400	         1.275000	         1.368700	         1.411000	         2.497900	         2.272000	         2.189700	         3.054700	         2.937100	         2.253100	         1.731900	         2.524700	         1.829100	
            33.30	         0.222720	         1.038600	         1.268300	         1.372000	         1.402600	         2.505300	         2.258400	         2.175300	         3.035800	         2.917100	         2.260300	         1.719600	         2.532700	         1.815500	
            33.40	         0.221750	         1.039600	         1.261500	         1.374800	         1.394100	         2.512100	         2.244800	         2.160800	         3.016700	         2.897000	         2.266900	         1.707200	         2.540200	         1.801900	
            33.50	         0.220760	         1.040300	         1.254600	         1.377400	         1.385600	         2.518300	         2.231100	         2.146300	         2.997600	         2.876800	         2.273000	         1.694700	         2.547100	         1.788300	
            33.60	         0.219760	         1.040700	         1.247700	         1.379500	         1.377000	         2.523900	         2.217400	         2.131600	         2.978300	         2.856500	         2.278600	         1.682200	         2.553500	         1.774600	
            33.70	         0.218750	         1.040800	         1.240700	         1.381300	         1.368300	         2.528800	         2.203500	         2.116900	         2.959000	         2.836100	         2.283700	         1.669600	         2.559300	         1.760800	
            33.80	         0.217730	         1.040700	         1.233600	         1.382800	         1.359600	         2.533100	         2.189500	         2.102100	         2.939500	         2.815600	         2.288300	         1.657000	         2.564500	         1.747000	
            33.90	         0.216700	         1.040300	         1.226500	         1.383900	         1.350800	         2.536800	         2.175500	         2.087200	         2.920000	         2.795000	         2.292300	         1.644400	         2.569200	         1.733200	
            34.00	         0.215650	         1.039600	         1.219300	         1.384600	         1.342000	         2.539800	         2.161400	         2.072300	         2.900300	         2.774300	         2.295800	         1.631700	         2.573300	         1.719400	
            34.10	         0.214600	         1.038600	         1.212100	         1.384900	         1.333100	         2.542300	         2.147200	         2.057300	         2.880600	         2.753600	         2.298800	         1.619000	         2.576900	         1.705500	
            34.20	         0.213530	         1.037400	         1.204800	         1.384900	         1.324100	         2.544100	         2.133000	         2.042200	         2.860800	         2.732800	         2.301200	         1.606200	         2.579800	         1.691600	
            34.30	         0.212450	         1.035800	         1.197400	         1.384600	         1.315100	         2.545300	         2.118700	         2.027000	         2.840900	         2.711900	         2.303100	         1.593400	         2.582300	         1.677700	
            34.40	         0.211370	         1.034100	         1.190000	         1.383900	         1.306100	         2.545800	         2.104300	         2.011800	         2.820900	         2.690900	         2.304600	         1.580600	         2.584200	         1.663700	
            34.50	         0.210270	         1.032000	         1.182600	         1.382800	         1.297000	         2.545800	         2.089900	         1.996600	         2.800900	         2.669800	         2.305500	         1.567800	         2.585500	         1.649700	
            34.60	         0.209170	         1.029700	         1.175100	         1.381400	         1.287900	         2.545200	         2.075400	         1.981200	         2.780800	         2.648700	         2.305900	         1.554900	         2.586300	         1.635700	
            34.70	         0.208050	         1.027100	         1.167500	         1.379600	         1.278700	         2.543900	         2.060800	         1.965900	         2.760600	         2.627600	         2.305800	         1.542000	         2.586500	         1.621700	
            34.80	         0.206930	         1.024300	         1.160000	         1.377500	         1.269500	         2.542100	         2.046200	         1.950500	         2.740400	         2.606400	         2.305100	         1.529100	         2.586200	         1.607700	
            34.90	         0.205790	         1.021100	         1.152300	         1.375000	         1.260200	         2.539600	         2.031600	         1.935000	         2.720100	         2.585100	         2.304000	         1.516100	         2.585300	         1.593700	
            35.00	         0.204650	         1.017800	         1.144700	         1.372200	         1.250900	         2.536500	         2.016900	         1.919500	         2.699700	         2.563900	         2.302400	         1.503200	         2.584000	         1.579600	
            35.10	         0.203500	         1.014200	         1.137000	         1.369100	         1.241600	         2.532900	         2.002200	         1.904000	         2.679400	         2.542500	         2.300300	         1.490200	         2.582100	         1.565600	
            35.20	         0.202350	         1.010300	         1.129200	         1.365600	         1.232200	         2.528700	         1.987400	         1.888500	         2.658900	         2.521200	         2.297700	         1.477200	         2.579600	         1.551600	
            35.30	         0.201180	         1.006200	         1.121500	         1.361800	         1.222900	         2.523900	         1.972600	         1.872900	         2.638500	         2.499800	         2.294600	         1.464200	         2.576600	         1.537500	
            35.40	         0.200010	         1.001800	         1.113600	         1.357700	         1.213400	         2.518500	         1.957800	         1.857300	         2.618000	         2.478300	         2.291000	         1.451200	         2.573200	         1.523500	
            35.50	         0.198840	         0.997190	         1.105800	         1.353200	         1.204000	         2.512600	         1.942900	         1.841600	         2.597400	         2.456900	         2.286900	         1.438300	         2.569200	         1.509400	
            35.60	         0.197650	         0.992350	         1.097900	         1.348400	         1.194500	         2.506100	         1.928000	         1.826000	         2.576900	         2.435400	         2.282400	         1.425300	         2.564700	         1.495400	
            35.70	         0.196460	         0.987260	         1.090000	         1.343400	         1.185000	         2.499000	         1.913100	         1.810300	         2.556300	         2.414000	         2.277400	         1.412300	         2.559700	         1.481400	
            35.80	         0.195270	         0.981950	         1.082100	         1.337900	         1.175500	         2.491400	         1.898100	         1.794600	         2.535700	         2.392500	         2.272000	         1.399300	         2.554200	         1.467400	
            35.90	         0.194060	         0.976400	         1.074200	         1.332200	         1.166000	         2.483300	         1.883200	         1.778900	         2.515100	         2.371000	         2.266000	         1.386300	         2.548200	         1.453400	
            36.00	         0.192860	         0.970630	         1.066200	         1.326200	         1.156500	         2.474600	         1.868200	         1.763200	         2.494400	         2.349500	         2.259700	         1.373300	         2.541700	         1.439400	
            36.10	         0.191640	         0.964640	         1.058200	         1.319900	         1.146900	         2.465400	         1.853200	         1.747500	         2.473800	         2.328000	         2.252900	         1.360300	         2.534700	         1.425400	
