        Ex        raw        sub        fit         f0         f1         f2         f3         f4         f5         f6
   1.05055   50.00000    8.15974    5.76493    0.00000    5.76493    0.00000    0.00000    0.00000    0.00000    0.00000
   1.08060   62.00000   20.01726   19.55658    0.00000   19.55658    0.00000    0.00000    0.00000    0.00000    0.00000
   1.11066   97.00000   54.87479   50.48756    0.00000   50.48756    0.00000    0.00000    0.00000    0.00000    0.00000
   1.14071  152.00000  109.73231   99.19010    0.00000   99.19010    0.00000    0.00000    0.00000    0.00000    0.00000
   1.17077  188.00000  145.58983  148.30125    0.00000  148.30125    0.00000    0.00000    0.00000    0.00000    0.00000
   1.20082  219.00000  176.44736  168.73836    0.00000  168.73836    0.00000    0.00000    0.00000    0.00000    0.00000
   1.23087  178.00000  135.30489  146.10845    0.00000  146.10845    0.00000    0.00000    0.00000    0.00000    0.00000
   1.26093  126.00000   83.16240   96.27853    0.00000   96.27851    0.00002    0.00000    0.00000    0.00000    0.00000
   1.29098   98.00000   55.01993   48.28123    0.00000   48.28096    0.00028    0.00000    0.00000    0.00000    0.00000
   1.32104   66.00000   22.87745   18.42799    0.00000   18.42531    0.00267    0.00000    0.00000    0.00000    0.00000
   1.35109   62.00000   18.73498    5.37145    0.00000    5.35114    0.02031    0.00000    0.00000    0.00000    0.00000
   1.38115   41.00000   -2.40750    1.30418    0.00000    1.18269    0.12149    0.00000    0.00000    0.00000    0.00000
   1.41120   43.00000   -0.54998    0.77050    0.00000    0.19892    0.57157    0.00000    0.00000    0.00000    0.00000
   1.44126   48.00000    4.30755    2.14047    0.00000    0.02546    2.11500    0.00001    0.00000    0.00000    0.00000
   1.47131   62.00000   18.16507    6.15818    0.00000    0.00248    6.15557    0.00013    0.00000    0.00000    0.00000
   1.50137   59.00000   15.02259   14.09274    0.00000    0.00018   14.09110    0.00146    0.00000    0.00000    0.00000
   1.53142   67.00000   22.88012   25.38392    0.00000    0.00001   25.37114    0.01277    0.00000    0.00000    0.00000
   1.56148   76.00000   31.73764   36.01854    0.00000    0.00000   35.92969    0.08885    0.00000    0.00000    0.00000
   1.59153   94.00000   49.59517   40.51198    0.00000    0.00000   40.02076    0.49119    0.00002    0.00000    0.00000
   1.62158   77.00000   32.45269   37.21995    0.00000    0.00000   35.06192    2.15776    0.00027    0.00000    0.00000
   1.65164   91.00000   46.31021   31.69469    0.00000    0.00000   24.16042    7.53168    0.00259    0.00000    0.00000
   1.68169   66.00000   21.16774   34.00369    0.00000    0.00000   13.09458   20.88901    0.02010    0.00000    0.00000
   1.71175  109.00000   64.02526   51.74197    0.00000    0.00000    5.58209   46.03429    0.12559    0.00000    0.00000
   1.74180  148.00000  102.88278   83.11179    0.00000    0.00000    1.87164   80.60882    0.63133    0.00000    0.00000
   1.77186  135.00000   89.74031  115.20283    0.00000    0.00000    0.49359  112.15569    2.55355    0.00000    0.00000
   1.80191  184.00000  138.59784  132.40569    0.00000    0.00000    0.10238  123.99313    8.31017    0.00000    0.00000
   1.83197  193.00000  147.45535  130.69733    0.00000    0.00000    0.01670  108.92098   21.75965    0.00000    0.00000
   1.86202  162.00000  116.31288  121.87093    0.00000    0.00000    0.00214   76.02616   45.84262    0.00000    0.00000
   1.89208  172.00000  126.17041  119.87269    0.00000    0.00000    0.00022   42.16501   77.70747    0.00000    0.00000
