    Ex    raw    sub    fit     f0     f1     f2     f3     f4     f5     f6
  1.59  94.00  49.60  40.51   0.00   0.00  40.02   0.49   0.00   0.00   0.00
  1.62  77.00  32.45  37.22   0.00   0.00  35.06   2.16   0.00   0.00   0.00
  1.65  91.00  46.31  31.69   0.00   0.00  24.16   7.53   0.00   0.00   0.00
  1.68  66.00  21.17  34.00   0.00   0.00  13.09  20.89   0.02   0.00   0.00
  1.71 109.00  64.03  51.74   0.00   0.00   5.58  46.03   0.13   0.00   0.00
  1.74 148.00 102.88  83.11   0.00   0.00   1.87  80.61   0.63   0.00   0.00
  1.77 135.00  89.74 115.20   0.00   0.00   0.49 112.16   2.55   0.00   0.00
  1.80 184.00 138.60 132.41   0.00   0.00   0.10 123.99   8.31   0.00   0.00
  1.83 193.00 147.46 130.70   0.00   0.00   0.02 108.92  21.76   0.00   0.00
  1.86 162.00 116.31 121.87   0.00   0.00   0.00  76.03  45.84   0.00   0.00
  1.89 172.00 126.17 119.87   0.00   0.00   0.00  42.17  77.71   0.00   0.00
  1.92 187.00 141.03 124.56   0.00   0.00   0.00  18.58 105.98   0.00   0.00
  1.95 161.00 114.89 122.81   0.00   0.00   0.00   6.51 116.30   0.00   0.00
  1.98 145.00  98.74 104.49   0.00   0.00   0.00   1.81 102.68   0.00   0.00
  2.01 130.00  83.60  73.35   0.00   0.00   0.00   0.40  72.94   0.00   0.00
  2.04  78.00  31.46  41.76   0.00   0.00   0.00   0.07  41.69   0.00   0.00
  2.07  65.00  18.32  19.19   0.00   0.00   0.00   0.01  19.17   0.01   0.00
  2.10  59.00  12.17   7.18   0.00   0.00   0.00   0.00   7.09   0.08   0.00
  2.13  53.00   6.03   2.63   0.00   0.00   0.00   0.00   2.11   0.52   0.00
  2.16  40.00  -7.11   3.07   0.00   0.00   0.00   0.00   0.51   2.56   0.00
  2.19  53.00   5.75  10.01   0.00   0.00   0.00   0.00   0.10   9.91   0.00
  2.22  87.00  39.60  29.86   0.00   0.00   0.00   0.00   0.02  29.83   0.02
  2.25 127.00  79.46  70.02   0.00   0.00   0.00   0.00   0.00  69.94   0.09
  2.28 186.00 138.32 127.99   0.00   0.00   0.00   0.00   0.00 127.65   0.33
  2.31 231.00 183.18 182.51   0.00   0.00   0.00   0.00   0.00 181.40   1.11
  2.34 255.00 207.03 203.85   0.00   0.00   0.00   0.00   0.00 200.69   3.16
  2.37 210.00 161.89 180.57   0.00   0.00   0.00   0.00   0.00 172.85   7.72
  2.40 172.00 123.75 132.03   0.00   0.00   0.00   0.00   0.00 115.91  16.12
  2.43 144.00  95.61  89.32   0.00   0.00   0.00   0.00   0.00  60.51  28.81
  2.46 137.00  88.46  68.65   0.00   0.00   0.00   0.00   0.00  24.60  44.06
  2.49 114.00  65.32  65.43   0.00   0.00   0.00   0.00   0.00   7.78  57.65
  2.52 117.00  68.18  66.47   0.00   0.00   0.00   0.00   0.00   1.92  64.55
  2.55 103.00  54.04  62.22   0.00   0.00   0.00   0.00   0.00   0.37  61.85
  2.58 110.00  60.89  50.76   0.00   0.00   0.00   0.00   0.00   0.05  50.71
  2.61  81.00  31.75  35.58   0.00   0.00   0.00   0.00   0.00   0.01  35.57
  2.64  65.00  15.61  21.35   0.00   0.00   0.00   0.00   0.00   0.00  21.35
  2.67  59.00   9.47  10.97   0.00   0.00   0.00   0.00   0.00   0.00  10.97
  2.70  60.00  10.32   4.82   0.00   0.00   0.00   0.00   0.00   0.00   4.82
  2.73  52.00   2.18   1.81   0.00   0.00   0.00   0.00   0.00   0.00   1.81
  2.76  52.00   2.04   0.58   0.00   0.00   0.00   0.00   0.00   0.00   0.58
  2.79  62.00  11.90   0.16   0.00   0.00   0.00   0.00   0.00   0.00   0.16
  2.82  48.00  -2.25   0.04   0.00   0.00   0.00   0.00   0.00   0.00   0.04
  2.85  53.00   2.61   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.01
  2.88  49.00  -1.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.91  64.00  13.33   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.94  43.00  -7.82   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  2.97  43.00  -7.96   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.00  53.00   1.90   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.03  51.00  -0.24   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.06  64.00  12.61   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.09  60.00   8.47   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.12  48.00  -3.67   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.15  61.00   9.19   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.18  49.00  -2.96   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.21  67.00  14.90   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.24  56.00   3.76   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.27  47.00  -5.38   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.30  57.00   4.47   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.33  54.00   1.33   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.36  55.00   2.19   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.39  55.00   2.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.42  53.00  -0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.45  50.00  -3.24   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  3.48  49.00  -4.38   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
