 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 15, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\208Pb_in_CD2.txt

 Ion = Lead [82] , Mass = 207.977 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  32.50 MeV   3.591E+03  2.601E+02   11.58 um     4461 A      4379 A   
  35.00 MeV   3.829E+03  2.468E+02   12.21 um     4597 A      4524 A   
  37.50 MeV   4.068E+03  2.350E+02   12.80 um     4717 A      4654 A   
  40.00 MeV   4.307E+03  2.243E+02   13.37 um     4822 A      4772 A   
  45.00 MeV   4.779E+03  2.059E+02   14.42 um     5107 A      4977 A   
  50.00 MeV   5.235E+03  1.906E+02   15.38 um     5334 A      5149 A   
  55.00 MeV   5.672E+03  1.777E+02   16.26 um     5521 A      5295 A   
  60.00 MeV   6.087E+03  1.665E+02   17.09 um     5677 A      5422 A   
  65.00 MeV   6.480E+03  1.568E+02   17.86 um     5811 A      5533 A   
  70.00 MeV   6.851E+03  1.483E+02   18.59 um     5928 A      5631 A   
  80.00 MeV   7.529E+03  1.340E+02   19.96 um     6274 A      5798 A   
  90.00 MeV   8.127E+03  1.224E+02   21.21 um     6552 A      5935 A   
 100.00 MeV   8.653E+03  1.128E+02   22.39 um     6785 A      6052 A   
 110.00 MeV   9.114E+03  1.048E+02   23.50 um     6986 A      6152 A   
 120.00 MeV   9.518E+03  9.787E+01   24.56 um     7164 A      6240 A   
 130.00 MeV   9.870E+03  9.191E+01   25.58 um     7324 A      6319 A   
 140.00 MeV   1.018E+04  8.669E+01   26.57 um     7470 A      6390 A   
